gene_symbol,Hrnr
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
pvalue,0.9525568
parameter_id,IMPC_CSD_007_001
analysis_id,977772428s1k06c
