gene_symbol,Ahcy
pvalue,0.6946572
gene_accession_id,MGI:87968
parameter_id,IMPC_GEL_006_001
analysis_id,7nv83l98cn00jk7
parameter_name,Pericardium Morphology
mouse_strain,C57BL
mouse_life_stage,E12.5
