analysis_id,ch2388c35ycl2c0
gene_symbol,Cntfr
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_id,MGP_MLN_063_001
parameter_name,Total ab T cells - % of CD45+
pvalue,0.5767994
mouse_strain,C57BL
