parameter_name,Limb coat/hair presence
analysis_id,nlr5dglc68y76k1
pvalue,0.7821139
mouse_life_stage,Early adult
parameter_id,MGP_CSD_030_001
gene_symbol,Eprs1
mouse_strain,C55BL
gene_accession_id,MGI:97838
