gene_symbol,Tiprl
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
pvalue,0.4549494
analysis_id,ejmxizad0d3u8g7
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
parameter_name,Center average speed
