analysis_id,l131a272k6a4p13
gene_accession_id,MGI:1925049
gene_symbol,Sla2
parameter_id,MGP_IMM_125_001
mouse_strain,C57BL
pvalue,0.7695824
mouse_life_stage,Early adult
parameter_name,Eosinophils - % of CD45+
