parameter_name,Periphery distance travelled
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_OFD_010_001
gene_symbol,Hspa5
analysis_id,ms5g6gw58cqs2t6
pvalue,0.8814219
gene_accession_id,MGI:95835
