parameter_id,IMPC_OFD_021_001
analysis_id,n99c94310x5185f
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_name,Number of rears - total
mouse_life_stage,Early adult
pvalue,0.6535041
mouse_strain,C57BL
