parameter_id,IMPC_ECG_004_001
gene_symbol,Ntmt2
mouse_strain,C57BL
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
parameter_name,RR
pvalue,0.2756972
analysis_id,b7744ek83c80g5j
