parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
gene_accession_id,MGI:109128
pvalue,0.5098886
gene_symbol,Hnf4a
mouse_life_stage,Late adult
analysis_id,3v5m0c619569r06
