gene_symbol,Lrrc69
analysis_id,81p43e785d62z8v
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
gene_accession_id,MGI:1920564
pvalue,0.903568
