gene_symbol,Rab22a
pvalue,0.6619748
analysis_id,ca7dst0q25435ze
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
mouse_strain,C57BL
