analysis_id,1741y28545l95j6
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:1914515
mouse_strain,C57BL
gene_symbol,Slc39a10
parameter_name,ST
mouse_life_stage,Early adult
pvalue,0.1747189
