analysis_id,3za15b69y12l1r4
mouse_strain,C57BL
parameter_id,MGP_IMM_001_001
gene_symbol,Golm2
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
pvalue,0.2437902
