analysis_id,968k3sku9w8hj58
mouse_life_stage,Early adult
pvalue,0.3321292
parameter_id,MGP_PBI_027_001
parameter_name,NK cell number
gene_accession_id,MGI:1919949
gene_symbol,Lime1
mouse_strain,C50BL
