analysis_id,nzq21y9m2vk8lhe
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_037_001
parameter_name,% Pre-pulse inhibition - Global
mouse_strain,C57BL
pvalue,0.7827132
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
