parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
mouse_strain,C57BL
analysis_id,m1ag9jl8981e63z
mouse_life_stage,Early adult
pvalue,1.01741e-08
parameter_name,Latency to first transition into dark
