analysis_id,yqge0s977517zkl
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,IMPC_DXA_003_001
pvalue,0.07201302
gene_accession_id,MGI:2140475
parameter_name,Lean mass
