analysis_id,h05kf28xmd0sj7w
mouse_strain,C57BL
parameter_name,Neutrophils
gene_symbol,Dcaf12
pvalue,0.8686511
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_050_001
