parameter_name,Distance travelled - total
analysis_id,x9zrd4wwzo91550
mouse_strain,C57BL
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
pvalue,0.2448737
