parameter_id,IMPC_GEP_076_001
gene_accession_id,MGI:109384
mouse_strain,C57BL
parameter_name,Cleft palate
mouse_life_stage,Early adult
analysis_id,208211763phd22z
gene_symbol,Atf3
pvalue,0.4903538
