analysis_id,2a4q4lb2t6164wd
gene_accession_id,MGI:1919935
mouse_strain,C57BL
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
gene_symbol,Dnajc6
mouse_life_stage,Early adult
pvalue,0.9681652
