parameter_id,HRWLLA_CBC_014_001
analysis_id,g50ry72v39ngrz1
pvalue,0.3703934
gene_symbol,Ift74
gene_accession_id,MGI:1914944
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
mouse_life_stage,Early adult
