parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
pvalue,0.7134734
mouse_life_stage,Early adult
parameter_name,Startle response
gene_accession_id,MGI:1913396
analysis_id,h4359kwtkps6tjp
gene_symbol,Maco1
