parameter_name,Glucose response AUC
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,Early adult
analysis_id,3y6v20829nbf952
mouse_strain,C57BL
pvalue,0.9125261
parameter_id,ESLIM_004_001_701
