parameter_name,Fusion of vertebrae
mouse_strain,C3H
analysis_id,3on7n10w4a94y8c
mouse_life_stage,Early adult
gene_symbol,Mecom
parameter_id,M-G-P_006_001_026
pvalue,0.9527923
gene_accession_id,MGI:95457
