parameter_name,Glucose response AUC
gene_accession_id,MGI:3045306
pvalue,0.9862328
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
gene_symbol,Exd1
analysis_id,s62g9y4baxe7oi7
