parameter_name,Neutrophil percentage
gene_symbol,Lcn2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
analysis_id,08672p6lm2e3h84
gene_accession_id,MGI:96757
pvalue,0.09980136
