parameter_name,Fasted blood glucose concentration
mouse_strain,129SV
analysis_id,gx55x910gg1857r
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
gene_symbol,Cds2
parameter_id,IMPC_IPG_010_001
pvalue,0.1442915
