analysis_id,bv792j5769uqw1w
pvalue,0.9203044
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
gene_symbol,Slc28a2
mouse_strain,C57BL
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
