analysis_id,9cpz37lyb5w2350
gene_symbol,Dhdds
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_name,Glucose
pvalue,0.3415828
