analysis_id,9v3288cc6ppezqy
mouse_strain,C57BL
pvalue,0.6582591
parameter_id,IMPC_XRY_067_001
parameter_name,Caudal processes
mouse_life_stage,Early adult
gene_symbol,Col6a3
gene_accession_id,MGI:88461
