analysis_id,41i8169z14r935j
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
mouse_strain,C57BL
pvalue,0.4157435
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_life_stage,E12.5
