analysis_id,fxfsm5w113duojp
gene_accession_id,MGI:2442483
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3050201
parameter_name,Periphery distance travelled
gene_symbol,Usp37
parameter_id,ESLIM_007_001_006
