parameter_id,IMPC_HEM_029_001
analysis_id,k9h1z35lv80hc31
gene_accession_id,MGI:894679
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bach2
pvalue,0.8184057
parameter_name,Neutrophil differential count
