gene_symbol,Ntmt2
pvalue,0.4951062
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:2685053
analysis_id,up13m25tj76b61h
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_026_001
mouse_strain,C57BL
