analysis_id,akh6e9k887p3q3i
parameter_id,CCP_LFO_001_001
gene_symbol,Arpc5l
mouse_strain,C57BL
gene_accession_id,MGI:1921442
parameter_name,Weight
pvalue,0.6356771
mouse_life_stage,Early adult
