parameter_name,Global prepulse inhibition
pvalue,3.03541e-07
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
mouse_strain,C3H
parameter_id,ESLIM_011_001_705
gene_symbol,Mecom
analysis_id,eza761rb754f3wn
