gene_symbol,Hspa5
mouse_life_stage,Early adult
analysis_id,0f070wuezral61m
pvalue,0.586668
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,% Pre-pulse inhibition - PPI1
parameter_id,IMPC_ACS_033_001
