gene_symbol,Casq1
mouse_strain,C57BL
parameter_name,Center average speed
mouse_life_stage,Early adult
analysis_id,1r0g55hs2hk5f0c
pvalue,0.4489126
gene_accession_id,MGI:1309468
parameter_id,JAX_OFD_017_001
