parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:1913284
analysis_id,1lg3j930374z540
parameter_id,IMPC_IMM_032_001
gene_symbol,Psmd14
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.08304443
