parameter_name,Fasted blood glucose concentration
analysis_id,3o8r2172d8o69cv
parameter_id,IMPC_IPG_010_001
mouse_strain,C57BL
pvalue,0.5598525
gene_symbol,Lamb3
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
