gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
analysis_id,c99720058s2cb9p
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
pvalue,0.5562976
mouse_strain,C57BL
