gene_symbol,Wars2
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
pvalue,0.09845227
mouse_strain,C57BL
analysis_id,055y04h0lu4y3e4
