analysis_id,9u8287565dcqonk
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
pvalue,0.3841308
gene_symbol,Hrnr
mouse_life_stage,Early adult
parameter_name,B Cells
gene_accession_id,MGI:3046938
