analysis_id,xqlwb7020r7pd6g
mouse_strain,C57BL
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
pvalue,0.8770088
parameter_id,MGP_BMI_014_001
