mouse_strain,B6J
gene_accession_id,MGI:1346344
pvalue,0.7028384
analysis_id,6463gue774pqm5q
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
parameter_name,HDL-cholesterol
gene_symbol,Nr0b2
