parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
gene_symbol,AU040320
analysis_id,3o76v4o688zz600
pvalue,0.8500171
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Late adult
