analysis_id,18qvf9jvx6x1m5y
parameter_name,Eye
gene_symbol,Lime1
mouse_strain,C57BL
parameter_id,IMPC_EYE_001_001
pvalue,0.4909814
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
