analysis_id,p8i6e1l290j7ecg
pvalue,0.3041422
gene_symbol,Lime1
parameter_id,HMGULA_CBC_016_001
gene_accession_id,MGI:1919949
parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
mouse_strain,C57BL
