analysis_id,j94bzx6u08cuv0a
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnajc8
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:1915848
pvalue,0.3466895
parameter_name,Percent time in dark
