analysis_id,6516l92668sj4yr
gene_symbol,Nr0b2
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
gene_accession_id,MGI:1346344
pvalue,0.6580956
mouse_strain,B6J
mouse_life_stage,Early adult
