analysis_id,i8m7j2tsacr913w
gene_accession_id,MGI:1920638
parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.4340875
gene_symbol,Bpifa3
