analysis_id,p5s4668n87g788b
parameter_name,Eyelid morphology
gene_symbol,Casq1
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
pvalue,0.1720287
mouse_strain,C57BL
gene_accession_id,MGI:1309468
