parameter_name,Pale yolk sac
gene_symbol,Lamb3
parameter_id,IMPC_GEL_017_002
mouse_strain,C57BL
analysis_id,89t35q6k42oz4me
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
pvalue,0.6916167
