analysis_id,9wrp1217tma3l8n
mouse_strain,C57BL
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Early adult
parameter_name,Percentage center time
pvalue,0.6754704
