gene_symbol,Orc2
gene_accession_id,MGI:1328306
parameter_id,MGP_IMM_100_001
mouse_life_stage,Early adult
mouse_strain,C51BL
analysis_id,693010ft5h8or12
pvalue,0.5043666
parameter_name,Resting NK cells - % of CD45+
