analysis_id,e4r1m5c13q6tqq4
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_100_001
gene_symbol,Cpa3
pvalue,0.9155306
