gene_symbol,Fpgs
analysis_id,84326n8anxye8k7
parameter_id,MGP_CSD_067_001
parameter_name,Snout size
mouse_strain,C57BL
pvalue,0.4128096
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
