parameter_name,Monocyte percentage
analysis_id,cd14l7s006y43s8
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
pvalue,0.317659
