parameter_id,JAX_ROT_002_001
analysis_id,06419rc559333a6
gene_symbol,Mecom
parameter_name,Average duration
mouse_life_stage,E15.5
gene_accession_id,MGI:95457
mouse_strain,C57BL
pvalue,0.129378
