gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,25t1x4wg82xbk66
parameter_name,PQ
parameter_id,IMPC_ECG_005_001
pvalue,0.3031778
