parameter_name,Lean mass
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
mouse_strain,C57BL
analysis_id,93q813cy19qn2bx
gene_symbol,Ift74
pvalue,0.7905603
gene_accession_id,MGI:1914944
