analysis_id,23jk2mbn7xu61t7
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
gene_symbol,Cds2
pvalue,0.6001661
parameter_id,MGP_IMM_028_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
